Date,Close
2013-01-01,
2013-01-02,1.54
2013-01-03,1.55
2013-01-04,1.54
2013-01-07,1.53
2013-01-08,1.56
2013-01-09,1.56
2013-01-10,1.56
2013-01-11,1.59
2013-01-14,1.56
2013-01-15,1.58
2013-01-16,1.54
2013-01-17,1.59
2013-01-18,1.6
2013-01-21,1.63
2013-01-22,1.63
2013-01-23,1.65
2013-01-24,1.63
2013-01-25,1.63
2013-01-28,1.64
2013-01-29,1.67
2013-01-30,1.64
2013-01-31,1.62
2013-02-01,1.65
2013-02-04,1.71
2013-02-05,1.68
2013-02-06,1.67
2013-02-07,1.64
2013-02-08,1.62
2013-02-11,1.62
2013-02-12,1.67
2013-02-13,1.63
2013-02-14,1.64
2013-02-15,1.61
2013-02-18,1.63
2013-02-19,1.63
2013-02-20,1.62
2013-02-21,1.6
2013-02-22,1.63
2013-02-25,1.62
2013-02-26,1.61
2013-02-27,1.62
2013-02-28,1.58
2013-03-01,1.6
2013-03-04,1.6
2013-03-05,1.59
2013-03-06,1.59
2013-03-07,1.67
2013-03-08,1.6
2013-03-11,1.6
2013-03-12,1.6
2013-03-13,1.63
2013-03-14,1.59
2013-03-15,1.54
2013-03-18,1.5
2013-03-19,1.54
2013-03-20,1.57
2013-03-21,1.55
2013-03-22,1.59
2013-03-25,1.58
2013-03-26,1.59
2013-03-27,1.62
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,1.58
2013-04-03,1.59
2013-04-04,1.63
2013-04-05,1.62
2013-04-08,1.64
2013-04-09,1.61
2013-04-10,1.58
2013-04-11,1.58
2013-04-12,1.59
2013-04-15,1.56
2013-04-16,1.55
2013-04-17,1.57
2013-04-18,1.55
2013-04-19,1.5
2013-04-22,1.55
2013-04-23,1.51
2013-04-24,1.48
2013-04-25,1.44
2013-04-26,1.49
2013-04-29,1.48
2013-04-30,1.42
2013-05-01,
2013-05-02,1.44
2013-05-03,1.4
2013-05-06,1.43
2013-05-07,1.48
2013-05-08,1.5
2013-05-09,
2013-05-10,1.5
2013-05-13,1.5
2013-05-14,1.49
2013-05-15,1.4
2013-05-16,1.4
2013-05-17,
2013-05-20,
2013-05-21,1.35
2013-05-22,1.35
2013-05-23,1.38
2013-05-24,1.36
2013-05-27,1.36
2013-05-28,1.38
2013-05-29,1.36
2013-05-30,1.42
2013-05-31,1.42
2013-06-03,1.43
2013-06-04,1.43
2013-06-05,1.36
2013-06-06,1.34
2013-06-07,1.43
2013-06-10,1.41
2013-06-11,1.35
2013-06-12,1.43
2013-06-13,1.43
2013-06-14,1.48
2013-06-17,1.41
2013-06-18,1.41
2013-06-19,1.44
2013-06-20,1.43
2013-06-21,1.37
2013-06-24,1.38
2013-06-25,1.41
2013-06-26,1.44
2013-06-27,1.49
2013-06-28,1.5
2013-07-01,1.5
2013-07-02,1.48
2013-07-03,1.48
2013-07-04,1.53
2013-07-05,1.47
2013-07-08,1.44
2013-07-09,1.43
2013-07-10,1.44
2013-07-11,1.45
2013-07-12,1.45
2013-07-15,1.45
2013-07-16,1.41
2013-07-17,1.42
2013-07-18,1.44
2013-07-19,1.44
2013-07-22,1.44
2013-07-23,1.42
2013-07-24,1.45
2013-07-25,1.43
2013-07-26,1.45
2013-07-29,1.42
2013-07-30,1.48
2013-07-31,1.44
2013-08-01,1.41
2013-08-02,1.44
2013-08-05,1.45
2013-08-06,1.45
2013-08-07,1.48
2013-08-08,1.48
2013-08-09,1.49
2013-08-12,1.54
2013-08-13,1.55
2013-08-14,1.54
2013-08-15,1.54
2013-08-16,1.54
2013-08-19,1.51
2013-08-20,1.54
2013-08-21,1.57
2013-08-22,1.56
2013-08-23,1.61
2013-08-26,1.55
2013-08-27,1.55
2013-08-28,1.55
2013-08-29,1.55
2013-08-30,1.55
2013-09-02,1.55
2013-09-03,1.55
2013-09-04,1.55
2013-09-05,1.55
2013-09-06,1.54
2013-09-09,1.55
2013-09-10,1.58
2013-09-11,1.6
2013-09-12,1.62
2013-09-13,1.62
2013-09-16,1.59
2013-09-17,1.54
2013-09-18,1.54
2013-09-19,1.56
2013-09-20,1.54
2013-09-23,1.54
2013-09-24,1.54
2013-09-25,1.54
2013-09-26,1.54
2013-09-27,1.55
2013-09-30,1.57
2013-10-01,1.57
2013-10-02,1.56
2013-10-03,1.56
2013-10-04,1.57
2013-10-07,1.57
2013-10-08,1.57
2013-10-09,1.58
2013-10-10,1.57
2013-10-11,1.58
2013-10-14,1.58
2013-10-15,1.57
2013-10-16,1.57
2013-10-17,1.57
2013-10-18,1.57
2013-10-21,1.57
2013-10-22,1.57
2013-10-23,1.57
2013-10-24,1.57
2013-10-25,1.56
2013-10-28,1.56
2013-10-29,1.56
2013-10-30,1.56
2013-10-31,1.56
2013-11-01,1.54
2013-11-04,1.52
2013-11-05,1.5
2013-11-06,1.48
2013-11-07,1.44
2013-11-08,1.44
2013-11-11,1.45
2013-11-12,1.44
2013-11-13,1.44
2013-11-14,1.44
2013-11-15,1.44
2013-11-18,1.44
2013-11-19,1.43
2013-11-20,1.43
2013-11-21,1.43
2013-11-22,1.43
2013-11-25,1.43
2013-11-26,1.43
2013-11-27,1.43
2013-11-28,1.43
2013-11-29,1.43
2013-12-02,1.41
2013-12-03,1.42
2013-12-04,1.42
2013-12-05,1.4
2013-12-06,1.4
2013-12-09,1.41
2013-12-10,1.41
2013-12-11,1.41
2013-12-12,1.41
2013-12-13,1.41
2013-12-16,1.38
2013-12-17,1.36
2013-12-18,1.33
2013-12-19,1.33
2013-12-20,1.34
2013-12-23,1.34
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,1.35
2013-12-30,1.33
2013-12-31,
2014-01-01,
2014-01-02,1.32
2014-01-03,1.32
2014-01-06,1.33
2014-01-07,1.33
2014-01-08,1.34
2014-01-09,1.34
2014-01-10,1.34
2014-01-13,1.34
2014-01-14,1.34
2014-01-15,1.33
2014-01-16,1.34
2014-01-17,1.35
2014-01-20,1.34
2014-01-21,1.35
2014-01-22,1.34
2014-01-23,1.34
2014-01-24,1.33
2014-01-27,1.33
2014-01-28,1.35
2014-01-29,1.35
2014-01-30,1.35
2014-01-31,1.35
2014-02-03,1.35
2014-02-04,1.35
2014-02-05,1.35
2014-02-06,1.34
2014-02-07,1.36
2014-02-10,1.36
2014-02-11,1.38
2014-02-12,1.38
2014-02-13,1.38
2014-02-14,1.38
2014-02-17,1.38
2014-02-18,1.38
2014-02-19,1.38
2014-02-20,1.37
2014-02-21,1.37
2014-02-24,1.37
2014-02-25,1.37
2014-02-26,1.37
2014-02-27,1.38
2014-02-28,1.44
2014-03-03,1.4
2014-03-04,1.39
2014-03-05,1.39
2014-03-06,1.38
2014-03-07,1.37
2014-03-10,1.35
2014-03-11,1.27
2014-03-12,1.2
2014-03-13,1.2
2014-03-14,1.2
2014-03-17,1.22
2014-03-18,1.24
2014-03-19,1.24
2014-03-20,1.25
2014-03-21,1.26
2014-03-24,1.26
2014-03-25,1.26
2014-03-26,1.26
2014-03-27,1.26
2014-03-28,1.26
2014-03-31,1.28
2014-04-01,1.3
2014-04-02,1.28
2014-04-03,1.28
2014-04-04,1.29
2014-04-07,1.29
2014-04-08,1.29
2014-04-09,1.31
2014-04-10,1.3
2014-04-11,1.31
2014-04-14,1.31
2014-04-15,1.34
2014-04-16,1.32
2014-04-17,
2014-04-18,
2014-04-21,
2014-04-22,1.32
2014-04-23,1.32
2014-04-24,1.31
2014-04-25,1.32
2014-04-28,1.32
2014-04-29,1.32
2014-04-30,1.33
2014-05-01,
2014-05-02,1.33
2014-05-05,1.38
2014-05-06,1.38
2014-05-07,1.38
2014-05-08,1.37
2014-05-09,1.38
2014-05-12,1.38
2014-05-13,1.39
2014-05-14,1.39
2014-05-15,1.39
2014-05-16,1.39
2014-05-19,1.38
2014-05-20,1.38
2014-05-21,1.38
2014-05-22,1.38
2014-05-23,1.38
2014-05-26,1.38
2014-05-27,1.38
2014-05-28,1.38
2014-05-29,
2014-05-30,1.38
2014-06-02,1.37
2014-06-03,1.38
2014-06-04,1.38
2014-06-05,1.38
2014-06-06,1.38
2014-06-09,
2014-06-10,1.38
2014-06-11,1.37
2014-06-12,1.32
2014-06-13,1.29
2014-06-16,1.24
2014-06-17,1.21
2014-06-18,1.22
2014-06-19,1.11
2014-06-20,1.1
2014-06-23,1.1
2014-06-24,1.09
2014-06-25,1.16
2014-06-26,1.23
2014-06-27,1.24
2014-06-30,1.3
2014-07-01,1.3
2014-07-02,1.31
2014-07-03,1.29
2014-07-04,1.28
2014-07-07,1.28
2014-07-08,1.28
2014-07-09,1.27
2014-07-10,1.27
2014-07-11,1.26
